0003F1DE,"SHOWROOM"
0028C388,"Unlocked at Assignment 18 ENF"
003BDB08,"I just ran over spikes. I'm riding on rims."
003BDB09,"Target's trying to slow me down."
004F825E,"Be advised, target has been halted."
004F825F,"Officer reporting a 10-44 forced out of action."
004F8260,"Target vehicle disabled. Move in for arrest."
004F8261,"Officer reports Racer immobilized. All units, detain and arrest the target."
004F8262,"Pursuit officer has halted a Racer. All units, move in to apprehend the suspect."
0052C5D0,"GALLARDO SUPER TROFEO"
0067C5E9,"New Lamborghini Gallardo LP 570-4 livery: Revamped"
0074DED7,"More Than A Number"
00793083,"One of our ANPR systems just ID'd a speeding Racer. All nearby units move to intercept."
00793084,"A Racer just triggered a roadside camera. All units close in and intercept."
00793085,"We just caught a Racer speeding on camera. All nearby units respond."
00793086,"One of our speed traps just snared a 10-44. All nearby units move in and apprehend."
00793087,"All units, be advised, a 10-44 just got flashed by a Speed Camera. All units in the vicinity please respond."
00793088,"All units, be advised. One of our traps just got lit up by a known Racer. Move in and detain the suspect."
00793089,"Be advised, a high speed suspect has been caught on camera. All nearby units, please respond."
008CF93B,"Project Lead Artist"
00917FBD,"EVENTS"
0095AD86,"CONTINENTAL GT V8"
00A1240D,"Busted a Racer at Heat 5 or greater"
00A68E0F,"5 Buster"
00BBB2AF,"Lamborghini Gallardo Super Trofeo"
00F00325,"I have a 10-44 in progress on Base Point Drive with multiple Racers moving fast."
00F00326,"Control, I've spotted a street race on Base Point Drive. Requesting support of additional units to intercept"
00F3BE92,"Our hands tied"
00F9FBC0,"Vehicle to detain is a Ferrari Five nine nine G T O."
00F9FBC1,"Suspect identified as a Ferrari Five nine nine G T O."
00FE9A65,"Bentley Continental GT V8 UC"
00FEAC7C,"Lamborghini Miura Concept"
00FEFD5D,"Lamborghini"
01002ABF,"Patrolling in a {0:~} with {1:d} Friends"
0104BFC6,"Block Text"
0104F096,"Unable to join session, it is currently set to Private."
010BACE2,"I will push harder, further than F-8 is willing to go"
010DCAA5,"Equatorial Guinea"
011078B5,"Complete 2x Rank 9 Speedlists"
01186D4F,"1 Lincoln Nine requesting Roadblock to assist with target pursuit."
01186D50,"1 Lincoln Nine. Roadblock requested to assist officers in pursuit of suspect vehicle."
01186D51,"This Racer's really moving. Control, I'm going to need an 11-25 out here."
01186D52,"Roadblock, we've got to get a Roadblock."
01186D53,"Dispatch, we need a Roadblock."
01186D54,"Dispatch, we need units assigned for Roadblocks."
01186D55,"Dispatch, if we don't get a Roadblock, we don't get this guy."
01186D56,"Dispatch, can you advise on how we can contain this suspect? Are we going to get Roadblocks, over?"
01186D57,"We're going to need Roadblocks to contain this pursuit, over."
01186D6F,"Can we clear units from all non-essential tasks and detail them to Roadblocks?"
01186D70,"This suspect is way too fast, we need Roadblocks, over."
01186D71,"We want this suspect, we'll need Roadblocks, over."
013E5897,"You've got it."
013E5898,"It's on."
013E5899,"Just say the word."
013E589A,"Bring it on."
0147EA76,""
016CB685,"Challenge Lost"
017E59C0,"The window has closed. Return to designated patrol."
017E59C1,"We've missed our window. Resume standard patrol route."
017E59C2,"It's too late. Resume patrol."
017E59C3,"Response time inadequate. The window just closed."
017E59C4,"Failed to reach designated area in time. Return to default patrol sweep."
017E59C5,"Stand down, the window has closed."
017E59C6,"We're out of time. Stand down and return to patrol route."
017E59C7,"We're too late. Resume standard patrol sweep."
01813B23,"Ferrari"
0181DD67,"OverWatch Continental"
0186FD8C,"Blue Dream"
019A66D8,"APP MENU"
01A33FC0,"Ferrari 458 Spider"
01ADC0AF,"Lead Technical Artist"
01B57ECE,"You've unlocked {0:s} because {1:s}"
01CE4813,"Unlocked at Racer Rank 15"
01DA2CA2,"To start a Race simply pull up at the start location and press the button."
01DA2CA3,"You can start an Event at any time, even when you're being chased by the Cops - just make sure to drive slow enough to not blast by it."
01DA2CA4,"You can also start Head to Head Races at any time by getting close to another driver and pressing the same button."
01F2844A,"alone"
0202EC30,"Event unlocked at Rank {0:s}"
02175EE5,"Copy that, Traffic needs to send units."
02175EE6,"Copy that, 11-56 will be required, over."
02175EE7,"Dispatch, you'll have to get a wrecker down to that incident, traffic's already backing up behind it."
02175EE8,"Copy that. Dispatch, can you send assistance?"
02175EE9,"Advise you tell the guys at Traffic, it's going to start snarling up."
02175EEA,"Dispatch, they'll need an 11-56 to tow that damaged vehicle."
022222D1,"Autolog"
024B4D82,"AR"
025266B4,"{0:s} of {1:s}"
02578810,"Racer's pulling away! Still following Code 3."
02578811,"Control, this Racer's gaining speed. Please advise traffic ahead of location."
02578812,"Control, the suspect is trying to break away. I'm still on to him."
02578813,"This Racer's flying. Maintaining Code 3."
02578814,"This Suspect's is not going to stop. Maintaining pursuit."
025E4A37,"Level 1 is the standard base for all Pursuit Tech."
025E4A38,"Level 2 increases the force of the Shock Ram, plus a shorter build-up and recharge time."
025E4A39,"Level 3 further increases the Shock Ram's force, with even more ammunition and build-up reduced again."
028F5588,"Aston Martin, the Aston Martin Wings logo and the model names “Vanquish” and “One-77” are trademarks owned, licensed or used by Aston Martin Lagonda Limited. All rights reserved."
02A4C625,"Let's do this."
02A4C626,"Let's go."
02A4C627,"It's on."
02B19B5E,"BEAT RECOMMENDATION {:f.1} {f.1} {:s} Leaderboard Position #{:d}"
02BF568E,"Unlocked at Rank {0:s}"
02FABD0E,""
03115CDC,"They got me."
03115CDD,"I just got busted."
03115CDE,"Cops just snared me."
03115CDF,"Cops reeled me in."
0315220E,"Aston Martin"
0315D626,"This suspect is trying to shake me off, I managed to hang on. Maintaining pursuit."
0315D627,"I just dodged a Spike Strip, dropped by the 10-44."
0315D628,"The suspect just tried to take out my tires...I'm still in pursuit, Code 3."
03249A4F,""
032FAAF5,"Throw them into turmoil"
033519E3,"Production Coordinator"
0338045F,"One-77"
0342F18A,"Complete 2x Rank 17 Speedlists"
03508E80,"Suspect tagged.  He's not going anywhere without us knowing about it."
03508E81,"Control, I've tagged the suspect. Should be on your monitor now."
03508E82,"Dispatch, you should be able to track this Racer now."
03592020,"{0:s}{1:s}"
03696737,"Suspected Racer spotted moving at high speed on Interstate 1."
03696738,"Dispatch, I have a suspected 10-44 on Interstate 1."
0369F398,"Suspected Racer spotted moving at high speed on Interstate 2."
0369F399,"Dispatch, I have a suspected 10-44 on Interstate 2."
036A7FF9,"Suspected Racer spotted moving at high speed on Interstate 3."
036A7FFA,"Speeding vehicle spotted on Interstate 3."
036B0C5A,"Suspected Racer spotted moving at high speed on Interstate 4."
036B0C5B,"Dispatch, I have a Racer moving at high speed along Interstate 4."
03722580,"{0:s} damaged {1:s}% of your car"
03733089,"Copy that, do you have a make and model for the suspect, over?"
0373308A,"10-4, can you give me a make and model?"
0373308B,"Copy that, any further description on that suspect?"
0373308C,"Copy that, do we have a description for that Code 3 suspect?"
0373308D,"10-4, what suspect details do you have?"
0373308E,"Copy that, what details do you have for that suspect, over?"
0373308F,"Copy that, any description available on that suspect, over?"
03733090,"10-4, can you provide make and model on that suspect?"
037A0817,"Jammer disengaging"
038A9A76,"Inside your Hideouts you'll find your Speedlists, the core of your Rivalry."
038A9A77,"Here you will be able to choose from a constantly changing set of objectives that suit your driving style."
038A9A78,"You are just getting started so for now the choice is limited."
038A9A79,"Once you complete your training you'll be able to choose from multiple Speedlists and shape your own destiny."
038B26D7,"This is your Speedlist. Here you will be able to choose from a constantly changing set of objectives that suit your driving style."
038B26D8,"You're only just getting started so for now choice is limited. Once you complete your training you'll be able to choose from multiple Speedlists."
038BB33A,"This is your Speedlist. Here you will be able to choose from a constantly changing set of objectives that suit your driving style."
038BB33B,"You're only just getting started so for now choice is limited."
038BB33C,"Once you complete your training you'll be able to choose from multiple Speedlists and shape your own Rivalry."
038DA647,"VEYRON SUPER SPORT"
03984721,"BUSTS"
039C6822,"Open Settings"
03A9FFB3,"Hit a Cop with Pursuit Tech"
03C34860,"Privacy Policy"
03CE2DE0,"Complete tutorial to unlock"
03F69326,"Bugatti Veyron Super Sport UC"
03F6E4CD,"Pursuit underway of multiple 10-44s on Troll Pass. Requesting support from any backup units in the area."
03F6E4CE,"I'm in pursuit of multiple high speed vehicles on Troll Pass. All nearby units move in to support."
03F9B5D4,"Escape {0:s} Pursuits without the Turbo equipped"
0416E6D1,"It ends now"
043DDA6B,"LSHIFT"
043F2CB5,"This will reset all your Keyboard Settings to default. Are you sure?"
04482EF4,"Cops T-boned: {0:s}/{1:s}"
044836E4,"AMMO: {0:s}"
044C1B90,"Stock"
048A8E0F,"I just spotted one of our main targets. I'm going after him."
048A8E10,"Be advised, I am on the trail of a high priority target. Requesting Dragnet."
04924F99,"Mayotte"
04AF3BDF,"Dispatch, I have a suspected 10-44 on Lagoon Trail."
04AF3BE0,"Dispatch, I have a Racer moving at high speed along Lagoon Trail."
04BBF51D,"Complete 3x Rank 18 Speedlists"
04C2D972,"GPS Home"
04C43E93,"Localisation Producer Assistant"
04C83346,"Content Author"
04D199F5,"Target just avoided the Spike Strip. Doesn't look like he's going to stop."
04D199F6,"10-44 just dodged a Spike Strip. He's just ignoring me."
04D199F7,"Control, this Racer is not slowing down."
04D199F8,"Target missed the Spike Strip, I'm still trying to slow him down."
04D199F9,"Dispatch, Racer avoided the Spike Strip. Continuing pursuit."
051120D4,"Accepting this invite will exit your current session and join the sender's. Are you sure?"
053458F9,"Lamborghini"
0534FB3D,"OverWatch Liberator"
053A1B62,"Revamped"
05412CA9,"["
0578DEBC,"Race"
058EE137,"VISCERAL"
059893F5,"New Porsche 918 Spyder livery: Just Drive"
05A7B43D,"Producer"
05A88C68,"ENGLISH VOICE ACTORS"
05D218AE,"$XXX,XXX.XX"
05EF1CD4,"Control, I'm gonna try and slow this guy down."
05EF1CD5,"Attempting to slow the target, all available standby."
05EF1CD6,"Making a drop to slow this Racer down, other units standby to move in."
05EF1CD7,"I'm trying to slow down the 10-44, all units standby."
05EF1CD8,"Making a drop to cut the power on that code 3."
06174BD1,"Ferrari F50"
06179CB2,"Ferrari"
062DF8B5,"Back-up required ASAP on Driftwood Heights. All units respond."
062DF8B6,"All units, 10-30 requested on Driftwood Heights. All available units, respond to this call."
062DF8B7,"Unit on Driftwood Heights requesting immediate backup. Code 3 clearance for all available."
067BD752,"UP"
068C5D0C,"Your Settings have changed, do you want to keep these settings?"
06957B2A,"INTERCEPTOR"
069BF921,"BEAT"
06AFF1F7,"Engineering Program Manager"
06D7640A,"Vulgar Content"
06E7D8DE,"You have Unlocked the Digital Revolution Livery. New car personalization available."
06ECC938,"One of our units just took a Racer out of commission."
06ECC939,"We've taken one out. That's one less criminal on the roads."
06ECC93A,"We've taken one down. He isn't going anywhere."
06ECC93B,"A pursuing officer just wrecked a 10-44."
070379F4,"Pursuing Racers in an {0:~} with {1:d} player"
0704AEA4,"Unlocked at Assignment 1 UC"
07119217,"with 2 Friends"
0727E3DA,"Afghanistan"
0739187B,"Personalize your license plate to send a message to your rivals."
0742B829,"LFA"
0746C89A,"Control, I've got a known 10-44 just emerged onto Interstate 1. Looks like they were holed nearby."
0746C89B,"Just ID's a Racer on Interstate 1. Looks like they were laying low in one of these buildings."
074754FB,"Control, I just ID'd a wanted vehicle exiting a building on Interstate 2."
074754FC,"Be advised, known Racer has exited a building and in now heading along Interstate 2."
0747E15C,"Control, I've got a known 10-44 just emerged onto Interstate 3. Looks like they were holed nearby."
0747E15D,"Just ID's a Racer on Interstate 3. Looks like they were laying low in one of these buildings."
07486DBD,"Control, I just ID'd a wanted vehicle exiting a building on Interstate 4."
07486DBE,"Be advised, known Racer has exited a building and in now heading along Interstate 4."
076535E8,"Classic Muscle"
076B6D89,"Cinematic Producer"
077A217B,"Lamborghini Murciélago LP 670-4 SuperVeloce"
077A725C,"Lamborghini"
07A22DF7,"Unlocked at Assignment 6"
07CEE9E5,"Control, I've spotted a street race on Driftwood Heights. Requesting support of additional units to intercept"
