0010CE84,"Single player it is?"
0119F728,"Shock wave hit confirmed by {0:s}"
011E9FD4,"Hit on You confirmed by {0:s}"
013A52E1,"4+5+8=17"
01579874,"You cant drive for shit - {0:s} penalty"
01627FAB,"  BINDS"
0180EA42,"F12 the killer"
01A10D12,"Speedrunner"
025E4A3A,"Maxed out Shock ram is crucial to kill your targets."
02807B98,"1v1"
029D61A8,"Spam invite"
02AF67D4,"Levels done"
02D0A822,"Drove for"
02FF5CD3,"You have it"
0314D12D,"Aston Martin Vanish"
0327DD79,"Just finish random ass {0:s} {1:s}"
033D04AA,"{0:s} said no to your heli spikes"
03686054,"Choose one, you will do both anyway"
03CBA71C,"F in chat for Heat 3"
04C1F78C,"Score"
0511DC56,"Zones that are speed i guess"
05340818,"Lamborghini Gallardo Superleggera Some Italian version"
057AD5BB,"Jump"
05C83D29,"What you will have after:"
05D1DA35,"Roadblock is in front of you, or is it?"
06AB57F0,"Roadblock available"
0740F4D7,"HARDDRIVE"
07B718B3,"Dont know what to do? Look for Blacklist, or mention someone from Heated server"
07B718B4,"Easy way to make money for racer: Spam interceptors with F12 and wreck the cop"
07B718B5,"More durability = more hits"
07B718B6,"HardDrive is important if you want to kill your target."
07B718B7,"Need a break? Take it easy Drop out to Command Post, or Hideout - or AFK on Redview!"
07B718B8,"Rivals is interesting... You CANNOT pause game once out, so yeah..."
07B718B9,"As a cop you can kill racers... and cops"
07B718BA,"As a racer you can kill cops... and racers"
07B718BB,"We are everywhere"
07B718D3,"Need points? Max out nitro, and use it fully"
07B718D4,"Taking out 4 wheels is considered ""Perfect hit"" More of a ""You cant drive for shit"""
07B718D5,"Need points? Use turbo, and try not to hit anything"
07B718D6,"Slipstreaming is nice, unless they brake"
07B718D7,"Microdrifting is faster than passive driving Just like in Hot Pursuit 2010/Remastered"
07B718D8,"Max out Powah or else."
07B718D9,"Need nitro? Drive close by traffic, and risk getting crashed"
07B718DA,"Never gonna give you up Never gonna let you down... sorry"
07B718DB,"Ramming is fun with Shock ram and ESF is more fun"
07B718DC,"Slap that racer for a ""Slam hit"""
07B718F4,"Hit them with T-Bone"
07B718F5,"Introduction in pvp is considered ""Head-on hit"" huh"
07E84D1A,"YOU HAVE NO LIFE"
08DDB2DC,"Nice Spikes"
08FB66ED,"Maserati Overwatch"
0922187A,"Weapons"
098E0EF7,"Loser"
09A3B0BC,"BUT YO ASS GOT NEW WHIP"
09CD3BD7,"Fuck."
09CE2376,"Hidden killer UC"
0A0EEAC9,"Rivals is Brake-to-drift Abuse it to get nitro and so smooth drift"
