0010CE84,"Single player it is?"
0052C5D0,"Not so peak Gallardo"
0119F728,"Shock wave hit confirmed by {0:s}"
011E9FD4,"Hit on You confirmed by {0:s}"
013A52E1,"4+5+8=17"
01579874,"You cant drive for shit - {0:s} penalty"
01627FAB,"  BINDS"
0180EA42,"F12 the killer"
01A10D12,"Speedrunner"
025E4A37,"Level 1 is the worst shit that you can use, upgrade it please"
025E4A38,"Level 2 is still really weak but has better reaction time upon activation, still weak and short"
025E4A39,"Level 3 further makes Shock Ram better, with even less delay upon activation"
025E4A3A,"Level 4 brings the PVP level Shock Ram - Pair it with ESF and attack enemies!"
02807B98,"1v1"
029D61A8,"Spam invite"
02AF67D4,"Levels done"
02D0A822,"Drove for"
02FF5CD3,"You have it"
0314D12D,"Aston Martin Vanish"
0327DD79,"Just finish random ass {0:s} {1:s}"
033D04AA,"{0:s} said no to your heli spikes"
03686054,"Choose one, you will do both anyway"
03CBA71C,"F in chat for Heat 3"
044836E4,"Max ammo ({0:s})"
04C1F78C,"Score"
0511DC56,"Zones that are speed i guess"
05340818,"Lamborghini Gallardo Superleggera Some Italian version"
0578DEBC,"Pre-clan era"
057AD5BB,"Jump"
05C83D29,"What you will have after:"
05D1DA35,"Roadblock is in front of you, or is it?"
06AB57F0,"Roadblock available"
0740F4D7,"HARDDRIVE"
07B718B3,"Dont know what to do? Look for Blacklist, or mention someone from Heated server"
07B718B4,"Easy way to make money for racer: Spam interceptors with F12 and wreck the cop"
07B718B5,"More durability = more hits"
07B718B6,"HardDrive is important if you want to kill your target."
07B718B7,"Need a break? Take it easy Drop out to Command Post, or Hideout - or AFK on Redview!"
07B718B8,"Rivals is interesting... You CANNOT pause game once out, so yeah..."
07B718B9,"As a cop you can kill racers... and cops"
07B718BA,"As a racer you can kill cops... and racers"
07B718BB,"We are everywhere"
07B718D3,"Need points? Max out nitro, and use it fully"
07B718D4,"Taking out 4 wheels is considered ""Perfect hit"" More of a ""You cant drive for shit"""
07B718D5,"Need points? Use turbo, and try not to hit anything"
07B718D6,"Slipstreaming is nice, unless they brake"
07B718D7,"Microdrifting is faster than passive driving Just like in Hot Pursuit 2010/Remastered"
07B718D8,"Max out Powah or else."
07B718D9,"Need nitro? Drive close by traffic, and risk getting crashed"
07B718DA,"Never gonna give you up Never gonna let you down... sorry"
07B718DB,"Ramming is fun with Shock ram and ESF is more fun"
07B718DC,"Slap that racer for a ""Slam hit"""
07B718F4,"Hit them with T-Bone"
07B718F5,"Introduction in pvp is considered ""Head-on hit"" huh"
07E84D1A,"YOU HAVE NO LIFE"
08DDB2DC,"Nice Spikes"
08FB66ED,"Maserati Overwatch"
0922187A,"Weapons"
098E0EF7,"Loser"
09A3B0BC,"BUT YO ASS GOT NEW WHIP"
09CD3BD7,"Fuck."
09CE2376,"Hidden killer UC"
0A0EEAC9,"Rivals is Brake-to-drift Abuse it to get nitro and so smooth drift"
0A0EEACA,"Use camera when doing 180s Unless you want to risk getting killed"
0A0EEACB,"As a cop; turn on sirens for WIIU WIIU That shit is annoying, turn it off when not needed"
0A106467,"ESF hits: {0:s}"
0AF4BC27,"LESS"
0B021CC6,"Nah fuck that"
0B0C1D37,"Deployed roadblock, dodge it"
0B8C7850,"Grind racer There are 61 ranks, and Zephyr done them all"
0B8C7851,"Grind cop There are 61 ranks, and Zephyr done them all"
0B8C7852,"Continue playing Rivals Join Heated, we await you"
0B8C7853,"Continue playing Rivals Join Heated, we await you"
0B8C7854,"You need to be 21lvl (completed story) on cop to join Heated"
0B8C7855,"You need to be 21lvl (completed story) on racer to join Heated"
0B8C7856,"The higher you go, the riskier it gets"
0BE8B3EE,"I AM SPEED"
0C4ED41E,"You know what to do"
0C95A994,"1v1 race started"
0CCAF8AE,"You made it through, somehow"
0D4FA538,"Grand Theft Auto"
0D95BFC6,"Im flying: {0:s}/{1:s}"
0D970D77,"FUCK YOU +{0:s}"
0DA7CF37,"SELECT HEATED MEMBER"
0E5E91CF,"Fuck you, you got banned. We dont care about you, next time dont fucking cheat lol."
0E70E0C7,"Main volume"
0EA0E2BE,"No changes to Speedrun (you suck)"
0EF02A7F,"Driftin'"
0EFF2D80,"CHOOSE TARGET"
0F70C57A,"Startin' in:"
0F84A6FE,"Targets in session"
0F8C1682,"Try to avoid roadblock"
0FF107DD,"Newer releases  0.2 being all about Races and Hot Pursuit has been announced on July 4th with release being on 9th - it had the most Alpha releases - 7 of them!  0.3 was picked up right after 0.2 was finished. This time it was about Garage. It was quite the change for BRT, the fresh Garage text was a decent update and first alpha was released to public - on GitHub  "
1047EAA2,"Kill confirmed"
10A956BF,"Escape the Fucker"
10C632D3,"Driftin'"
10FBA042,"Imagine losing to a bot"
130397D5,"M3 GTRn't"
136C84B4,"BMW M3 GTRn't"
13B29AA2,"How fast can you drive?"
13E58367,"My russia rush B"
149A032C,"The Better Rivals Text has been released exclusively to Heated members back in June 30th 2024 with release 0.0  0.0 Also known as ""0.0 Interceptor release"" as the name suggests - was an Interceptor rework. This version changes the Interceptor event for racers to HELL. But it also changes text slightly as well. It also introduces changes to ""pro tips"" which are shown during loading screen  0.1 Also known as ""0.1 Time event release"" brings more changes. From weapons messages being reworked, as well as time trial and rapid response change - it also brings new funny messages. It also added more ""pro tips"" messages  Read more below"
15FEABD4,"YOU SURE?"
16C0DB9E,"Hit"
1743F6C9,"0 to 100"
17DD0721,"Racer"
185A0E49,"The one that started it all"
18C2FB28,"Newbie ENF"
18E1F4CB,"HE SUCKS ASS LOL"
194B8F72,"We decided to disconnect you, because fuck you. Go back to hideout and do the rest."
19AEC773,"Vanish"
19DAEFAB,"Money that will get taxed:"
19DB5C79,"Grand Theft Auto"
19E4DEC5,"Who uses this?"
19E6AB3F,"Set your input and output, but know that it doesnt work. And Rivals will track you or something (idfk, seems sketchy bro)"
1A0CC7CB,"Flashbang setup"
1B6A50AE,"Host migration time!"
1B835DA8,"Agera R - Killer"
1BC02FC3,"Nice! Took you long enough to find this. Youre #{0:s} on the Speedwall"
1D19B8C9,"Scan this QR Code to see the worst modern NFS game page"
1D4DD1DF,"Nitro"
1D7A4B71,"SHITTIN' MINES"
1D89AD1B,"THEY CANT DO SHIT NOW"
1D91007C,"The fuck youre waiting for?"
1DE98694,"You wanted to beat {0:s}'s Heli spikes? You failed, terribly"
1E297807,"Repaired"
1E438BC5,"Your heart started beating faster, enjoy"
1EB7D178,"Racist"
1EDC4CE0,"YOU GET NO BITCHES"
1FD6D665,"EU or USA?"
1FDFB911,"Ken Block (Rest in Peace, legend)"
1FFF3478,"Nice! Took you long enough to find this. Youre #{0:s} on the Speedwall"
